,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
254,Q0.215,557.3934050485911,rep0,0.022,4319,RandomProjection,0.17995914943680766
255,Q0.215,557.3934050485911,rep0,0.046,9031,VAE,1.2483441420221146
256,Q0.215,557.3934050485911,rep0,0.046,9031,PCA,1.0065657835651725
257,Q0.215,557.3934050485911,rep0,0.046,9031,RandomProjection,0.2074518729167921
258,Q0.215,557.3934050485911,rep0,0.1,19633,VAE,1.1749823460429778
259,Q0.215,557.3934050485911,rep0,0.1,19633,PCA,0.9015703547035497
260,Q0.215,557.3934050485911,rep0,0.1,19633,RandomProjection,0.2808510607224854
261,Q0.215,557.3934050485911,rep0,0.1,19633,nanoTxformer,0.20912591342275624
262,Q0.215,557.3934050485911,rep0,0.215,42211,VAE,1.3320889897843973
263,Q0.215,557.3934050485911,rep0,0.215,42211,PCA,0.9403962503203831
264,Q0.215,557.3934050485911,rep0,0.215,42211,RandomProjection,0.24438957847715545
265,Q0.215,557.3934050485911,rep0,0.464,91098,VAE,1.2640074369973466
266,Q0.215,557.3934050485911,rep0,0.464,91098,PCA,0.9575687737482063
267,Q0.215,557.3934050485911,rep0,0.464,91098,RandomProjection,0.14751126141784315
268,Q0.215,557.3934050485911,rep0,1.0,196332,VAE,1.245164006375277
269,Q0.215,557.3934050485911,rep0,1.0,196332,PCA,0.9502984923199964
270,Q0.215,557.3934050485911,rep0,1.0,196332,RandomProjection,0.30309284873319575
271,Q0.215,557.3934050485911,rep0,1.0,196332,nanoTxformer,0.139646584589865
272,Q0.464,1200.725337693295,rep0,0.001,196,VAE,1.1332084946416658
273,Q0.464,1200.725337693295,rep0,0.001,196,PCA,1.2019784592415037
274,Q0.464,1200.725337693295,rep0,0.001,196,RandomProjection,0.47370367762098714
275,Q0.464,1200.725337693295,rep0,0.001,196,nanoTxformer,0.328278314793994
276,Q0.464,1200.725337693295,rep0,0.002,392,VAE,1.2270225191474755
277,Q0.464,1200.725337693295,rep0,0.002,392,PCA,1.082380222011084
278,Q0.464,1200.725337693295,rep0,0.002,392,RandomProjection,0.17335901363989575
279,Q0.464,1200.725337693295,rep0,0.005,981,VAE,1.2685396485442049
280,Q0.464,1200.725337693295,rep0,0.005,981,PCA,1.234225043069453
281,Q0.464,1200.725337693295,rep0,0.005,981,RandomProjection,0.43090450747220505
282,Q0.464,1200.725337693295,rep0,0.01,1963,VAE,1.3439892644338876
283,Q0.464,1200.725337693295,rep0,0.01,1963,PCA,1.2800692742910187
284,Q0.464,1200.725337693295,rep0,0.01,1963,RandomProjection,0.3647018003964195
285,Q0.464,1200.725337693295,rep0,0.01,1963,nanoTxformer,0.3580653546544154
286,Q0.464,1200.725337693295,rep0,0.022,4319,VAE,1.3938831853037195
287,Q0.464,1200.725337693295,rep0,0.022,4319,PCA,1.3547185516607854
288,Q0.464,1200.725337693295,rep0,0.022,4319,RandomProjection,0.26308221033293144
289,Q0.464,1200.725337693295,rep0,0.046,9031,VAE,1.4171629416595242
290,Q0.464,1200.725337693295,rep0,0.046,9031,PCA,1.3745524800170388
291,Q0.464,1200.725337693295,rep0,0.046,9031,RandomProjection,0.2562740491783876
292,Q0.464,1200.725337693295,rep0,0.1,19633,VAE,1.5763750240435441
293,Q0.464,1200.725337693295,rep0,0.1,19633,PCA,1.3897962256041754
294,Q0.464,1200.725337693295,rep0,0.1,19633,RandomProjection,0.32954585836498934
295,Q0.464,1200.725337693295,rep0,0.1,19633,nanoTxformer,0.16587926552940077
296,Q0.464,1200.725337693295,rep0,0.215,42211,VAE,1.5880086004206535
297,Q0.464,1200.725337693295,rep0,0.215,42211,PCA,1.3414844220498399
298,Q0.464,1200.725337693295,rep0,0.215,42211,RandomProjection,0.4174312788517084
299,Q0.464,1200.725337693295,rep0,0.464,91098,VAE,1.5806205333536767
300,Q0.464,1200.725337693295,rep0,0.464,91098,PCA,1.3024472186587535
301,Q0.464,1200.725337693295,rep0,0.464,91098,RandomProjection,0.31538006176833855
302,Q0.464,1200.725337693295,rep0,1.0,196332,VAE,1.6291426659022181
